;Meses;Autoridad_Portuaria;Graneles Líquidos t;Graneles Sólidos t;Mercancía General t;Mercancia General Contenedores t;Pesca t;Avituallamiento t;Avituallamiento De Combustibles Líquidos t;Tráfico Interior t;Mercancías En Tránsito t;Mercancías En Tránsito En Contenedores t;Tráfico Ro-Ro t;UTIS Ro-Ro;TEUS Contenedores;TEUS Contenedores En Tránsito;TEUS Contenedores Entrada-Salida Nacional;TEUS Contenedores Entrada-Salida Exterior;Unidades Buques Mercantes;G.T. Buques Mercantes;Unidades Buques De Crucero;Pasajeros En Régimen De Transporte Y De Crucero;Pasajeros En Régimen De Transporte;Pasajeros De Crucero;Automóviles En Régimen De Pasaje;Automóviles En Régimen De Mercancía
73;Marzo;Marín y Ría de Pontevedra;0;53295;80222;37196;271.569;1323;561;0;0;0;0;0;3278.75;0.0;388.0;2890.75;36;177050;0;0;0;0;0;11
74;Marzo;Melilla;4509;0;42975;4013;0.0;70;0;0;0;0;42975;2792;577.0;0.0;567.0;10.0;97;2260116;1;32700;31943;757;6673;95
75;Marzo;Motril;110008;29612;65165;878;57.819;1659;788;0;12716;0;60955;2297;156.0;0.0;0.0;156.0;68;1091598;0;3538;3538;0;805;6
76;Marzo;Pasaia;0;104616;254603;0;2821.874;1965;777;0;1029;0;58310;347;0.0;0.0;0.0;0.0;83;700434;0;1;0;1;0;24345
77;Marzo;Santa Cruz de Tenerife;282523;42165;740762;363182;320.747;63522;59831;131;61860;59212;397181;28910;46194.0;6663.0;34111.0;5420.0;1428;20066981;86;604651;434902;169749;130628;7124
78;Marzo;Santander;21717;369009;237938;31510;771.3739999999999;4075;2464;0;11045;0;218365;4677;2798.25;0.0;306.5;2491.75;127;2572981;0;11714;11714;0;5772;53137
79;Marzo;Sevilla;32950;141744;146661;97995;0.0;2210;1139;0;0;0;15725;719;13746.75;0.0;13618.75;128.0;73;481303;6;2447;0;2447;0;406
80;Marzo;Tarragona;1739101;902997;182974;45434;257.378;8024;2966;6303;167990;1557;36095;0;5784.5;715.0;1371.5;3698.0;209;4308617;0;0;0;0;0;24585
81;Marzo;Valencia;695112;259112;5752881;4418040;55.61500000000001;43354;37548;0;2366648;2305847;1169098;42409;393989.0;192948.0;17482.0;183559.0;626;24446097;9;58374;44180;14194;11690;60524
82;Marzo;Vigo;2976;23977;341795;206930;2877.392;2384;0;0;16159;9478;103694;965;17799.0;697.0;1065.0;16037.0;147;3196829;3;7160;0;7160;0;51614
83;Marzo;Vilagarcía;6998;37609;72301;20479;0.0;372;229;0;0;0;0;0;2403.0;0.0;2284.0;119.0;27;199883;0;0;0;0;0;2
84;Abril;A Coruña;548746;482784;56369;43;2122.334;3001;2239;0;172519;0;0;0;3.0;0.0;0.0;3.0;103;2292395;14;27030;0;27030;0;0
85;Abril;Alicante;1;115313;95671;92491;0.0;2751;123;0;3908;3908;228;0;13645.25;437.5;11838.0;1369.75;56;1042086;9;23635;11055;12580;3120;117
86;Abril;Almería;0;370541;78309;16167;211.811;4852;2843;0;28;28;48102;2565;1896.0;14.0;1281.0;601.0;124;2085732;4;26333;25678;655;8721;174
87;Abril;Avilés;45014;227675;71541;9;0.0;3245;787;0;0;0;0;0;0.0;0.0;0.0;0.0;62;482399;0;0;0;0;0;0
88;Abril;Bahía de Algeciras;2359748;36596;6183310;4951822;43.229;308727;295580;286282;5660162;4417133;1221567;40664;409848.0;345866.0;0.0;63982.0;2220;41307060;0;327554;327554;0;65612;312
89;Abril;Bahía de Cádiz;50715;139223;161301;113089;1011.52;6157;2888;0;74211;19012;62151;1931;14077.5;1638.25;10507.0;1932.25;129;3921621;51;65643;1690;63953;1044;1389
90;Abril;Baleares;93106;31421;1195478;27975;116.885;10956;146;535;997;2;1182038;56023;7800.0;2.0;7798.0;0.0;3730;20759717;58;722105;586589;135516;111964;10089
91;Abril;Barcelona;1368012;352117;3616568;2675071;108.168;147345;122363;0;1735138;1261024;966089;34219;252903.0;101288.5;18717.5;132897.0;720;30541700;79;400621;133201;267420;33502;69834
92;Abril;Bilbao;1697306;300970;774441;457699;0.0;11146;5796;0;9574;9574;94966;3597;42999.75;513.75;3016.25;39469.75;233;5272104;7;18704;11409;7295;4966;14822
93;Abril;Cartagena;2781828;623826;69921;47831;0.0;21154;687;0;84;84;0;0;4076.5;42.0;1302.25;2732.25;202;4776931;21;17948;0;17948;0;24
94;Abril;Castellón;1068669;515772;119760;114425;241.399;2013;0;0;1898;1898;25047;0;9313.0;381.0;980.0;7952.0;123;1860360;0;0;0;0;0;204
95;Abril;Ceuta;91102;1426;38098;4962;0.0;39911;37723;0;0;0;37837;2156;402.0;0.0;393.0;9.0;786;5591465;3;148305;142485;5820;33978;90
96;Abril;Ferrol-San Cibrao;447029;242034;115599;44732;19.407;1383;321;68;70301;0;2088;0;3214.5;0.0;740.0;2474.5;94;1638109;3;1533;0;1533;0;66
97;Abril;Gijón;94652;2023648;168477;55035;1117.357;3642;3642;0;987322;333;0;0;4450.0;18.0;385.0;4047.0;115;2169686;3;2205;0;2205;0;3
98;Abril;Huelva;1799285;373846;110180;44552;12.869;13898;11574;5088;129182;0;60657;2884;6476.5;0.0;5639.5;837.0;165;3342462;0;5511;5511;0;3382;1397
99;Abril;Las Palmas;628616;18454;1444956;1069177;74.763;201358;176475;0;1005142;735395;372181;25825;96418.0;51016.0;39986.0;5416.0;1041;22597579;79;304636;151176;153460;61789;62118
100;Abril;Málaga;13937;140446;79133;32144;13.745;9983;3591;0;9086;8151;52077;2973;6160.75;3911.5;641.25;1608.0;163;4924933;43;62565;17996;44569;3995;4683
101;Abril;Marín y Ría de Pontevedra;0;75393;106228;36914;173.499;1423;450;0;92;92;0;0;3164.75;46.0;322.0;2796.75;48;239447;0;0;0;0;0;3
102;Abril;Melilla;6318;1492;34252;3697;0.0;50;0;0;0;0;34252;2167;505.0;0.0;501.0;4.0;95;2675389;1;28726;28068;658;6734;148
103;Abril;Motril;108471;104321;48896;325;44.94200000000001;1887;1482;2998;3058;0;46000;1686;58.0;0.0;0.0;58.0;87;1454607;5;10384;4942;5442;1312;168
104;Abril;Pasaia;0;63794;209655;0;1743.274;2627;1487;0;36;0;46039;211;0.0;0.0;0.0;0.0;78;606285;2;562;0;562;0;20667
105;Abril;Santa Cruz de Tenerife;338347;40309;618622;298440;461.3640000000001;62811;58315;131;45180;36447;333173;23752;39303.0;5250.0;29572.0;4481.0;1368;17300074;69;610686;501716;108970;159879;7599
106;Abril;Santander;18376;271879;266953;40363;838.427;2805;1657;0;3519;0;201480;4967;3950.5;0.0;989.75;2960.75;142;2721780;4;19753;18773;980;8680;31227
107;Abril;Sevilla;38685;129484;126591;75961;0.0;4804;1466;0;0;0;13251;630;10485.25;0.0;10376.25;109.0;84;504481;15;4105;0;4105;0;633
108;Abril;Tarragona;1703427;811294;135090;27666;155.676;4596;1158;0;112971;796;24684;0;3443.0;372.0;1112.0;1959.0;200;3749125;5;2708;0;2708;0;18122
