,Autoridad_Portuaria,Graneles Líquidos t,Graneles Sólidos t,Mercancía General t,Mercancia General Contenedores t,Mercancías En Tránsito t,Tráfico Ro-Ro t,TEUS Contenedores,Total_pasajeros,Anios,Mes,fecha,Total_buques,Total_automoviles,Total_toneladas
179,12,52834,0,52968,5225,0,52708,424.0,299419,2022,7,2022-07-01,3846,71496,163735
180,13,280141,650176,101724,44661,65387,4181,3990.0,318,2022,7,2022-07-01,127,2,1146270
181,14,28343,1180870,101427,55519,11711,0,4194.0,0,2022,7,2022-07-01,100,0,1377870
182,15,2153045,523940,101662,48433,197052,51993,6494.0,9498,2022,7,2022-07-01,2671,5646,3076125
183,16,620942,33073,1534283,1126406,1062212,408766,102573.0,204516,2022,7,2022-07-01,30064,107115,4785682
184,17,9282,85770,321552,281455,263290,41995,29900.0,102979,2022,7,2022-07-01,2681,21693,1003344
185,18,0,49014,87903,38838,26,0,3235.25,0,2022,7,2022-07-01,36,6,175781
186,19,8109,2098,42430,2734,0,42430,356.0,146914,2022,7,2022-07-01,2924,32631,97801
187,20,88721,53652,5325,0,3052,2645,0.0,40390,2022,7,2022-07-01,217,9461,153395
188,21,0,43538,200490,0,0,52769,0.0,0,2022,7,2022-07-01,351,23247,296797
189,22,241795,43685,635262,323033,53305,331437,42849.0,555001,2022,7,2022-07-01,26510,188002,1628517
190,23,14100,261686,270594,32186,10652,213296,2480.25,28995,2022,7,2022-07-01,5346,43887,802514
191,24,59606,155788,147519,91996,0,14066,12826.25,1355,2022,7,2022-07-01,918,559,468975
192,25,1530115,570728,227158,41100,151686,42419,5536.75,12142,2022,7,2022-07-01,1307,12722,2563206
193,26,547307,243781,6219636,4845331,2483099,1233090,457604.0,182470,2022,7,2022-07-01,46132,79505,15572244
194,27,0,34330,334532,212524,13436,86533,17248.0,3523,2022,7,2022-07-01,1105,41297,681355
195,28,52130,38802,65544,25396,2139,0,2770.5,0,2022,7,2022-07-01,38,41,184011
196,1,652454,715089,70914,0,261197,0,0.0,22314,2022,8,2022-08-01,101,0,1699654
197,2,0,202886,116970,102212,1304,9626,16202.0,33509,2022,8,2022-08-01,469,2777,432998
198,3,3006,521855,115530,16237,192,63780,1231.0,232504,2022,8,2022-08-01,3977,52333,720600
199,4,75086,147827,59232,0,0,0,0.0,0,2022,8,2022-08-01,53,0,282145
200,5,2682846,151921,5776590,4940772,5579341,830771,418027.0,1069977,2022,8,2022-08-01,30655,240482,19962241
201,6,185382,180248,169181,123200,201202,64339,17974.0,41044,2022,8,2022-08-01,2213,2463,923552
202,7,141911,30518,1240334,34917,878,1237058,9142.0,1646383,2022,8,2022-08-01,64334,217820,2685616
203,8,1004330,378600,4426726,3583087,2322164,889488,335260.0,724147,2022,8,2022-08-01,34466,158746,12604395
204,9,1507205,344786,703376,432506,15830,90416,39895.5,35780,2022,8,2022-08-01,3684,9785,3094119
205,10,2261952,547564,94109,60246,121240,0,5768.75,6440,2022,8,2022-08-01,164,0,3085111
206,11,897667,924684,137254,125935,3344,25091,10852.5,0,2022,8,2022-08-01,136,39,2113975
207,12,72838,800,51325,5764,0,51325,466.0,340986,2022,8,2022-08-01,3705,80655,182052
208,13,268618,544330,100647,42725,143308,4884,3630.0,1108,2022,8,2022-08-01,133,1,1104512
209,14,78033,1581070,81648,43649,311208,0,3642.0,5212,2022,8,2022-08-01,107,0,2095608
210,15,2297474,350387,110313,51470,235408,53366,7247.25,8521,2022,8,2022-08-01,2531,5245,3098418
211,16,810943,29425,1480964,1054566,1095143,425642,97106.0,251886,2022,8,2022-08-01,31345,112602,4896683
212,17,6657,32355,121738,85323,57394,39833,13144.0,95537,2022,8,2022-08-01,2607,17401,343300
213,18,0,173431,64740,52542,8,0,5043.0,0,2022,8,2022-08-01,39,2,290721
214,19,4889,0,47132,3142,0,47132,439.0,153599,2022,8,2022-08-01,3195,33916,102295
215,20,134286,38921,17514,0,6549,2496,0.0,44673,2022,8,2022-08-01,201,10207,199766
216,21,0,56195,153752,0,768,28503,0.0,110,2022,8,2022-08-01,304,10543,239218
217,22,323612,14078,654187,309540,57693,356863,39945.0,634250,2022,8,2022-08-01,27912,210795,1715973
218,23,31046,255851,189506,20820,14104,159108,1738.75,42250,2022,8,2022-08-01,3988,33061,670435
219,24,36968,90297,123540,83222,0,12329,12337.25,785,2022,8,2022-08-01,719,319,346356
220,25,1520509,466382,159104,40895,125517,42390,5459.25,6342,2022,8,2022-08-01,1404,11831,2354797
221,26,637961,237271,5970493,4868171,2482258,1002368,452793.0,233425,2022,8,2022-08-01,37872,75046,15198522
222,27,0,26957,283322,212635,16049,46438,18451.0,18751,2022,8,2022-08-01,328,25694,585401
223,28,17633,57543,48982,22495,2083,0,2770.5,0,2022,8,2022-08-01,32,21,148736
224,1,635859,729350,89717,0,387028,0,0.0,36524,2022,9,2022-09-01,131,0,1841954
225,2,2002,139028,123325,108274,110,4848,17400.25,27524,2022,9,2022-09-01,265,3313,377587
226,3,9822,189290,103144,14888,124,50227,1178.5,77931,2022,9,2022-09-01,3033,18320,367495
227,4,48276,159050,60271,0,0,1,0.0,0,2022,9,2022-09-01,54,0,267598
228,5,1795480,192043,5888177,4827024,5171824,1056973,407662.0,443422,2022,9,2022-09-01,35072,97835,18931521
229,6,141489,148727,163513,114555,145332,66519,16102.25,47682,2022,9,2022-09-01,2326,2002,780135
